App > Industry/Discipline > Module,Simulation Name,Duration (Min),Learning Objective,Standards Body > Category,Standards
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Power Tools: Impact Wrenches,15,"Trainee will demonstrate how to remove a 1-1/4"" nut.",OSHA > OSHA-10: Construction > 1926 Subpart I Tools-Hand and Power,CS.1926.300 > 1926.300(c) Personal protective equipment.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Power Tools: Impact Wrenches,15,"Trainee will demonstrate how to install a 1-1/4"" nut.",OSHA > OSHA-10: Construction > 1926 Subpart I Tools-Hand and Power,CS.1926.300 > 1926.300(c) Personal protective equipment.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Power Tools: Portable Band Saw,16,Trainee will select and wear correct PPE.,OSHA > OSHA-10: Construction > 1926 Subpart I Tools-Hand and Power,CS.1926.300 > 1926.300(c) Personal protective equipment.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Power Tools: Portable Band Saw,16,Trainee will demonstrate sawing technique with a portable band saw.,OSHA > OSHA-10: Construction > 1926 Subpart I Tools-Hand and Power,CS.1926.300 > 1926.300(c) Personal protective equipment.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Power Tools: Portable Band Saw,16,Trainee will demonstrate measure and clamp material.,OSHA > OSHA-10: Construction > 1926 Subpart I Tools-Hand and Power,CS.1926.300 > 1926.300(c) Personal protective equipment.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Power Tools: Portable Band Saw,16,Trainee will demonstrate how to replace a portable band saw blade.,OSHA > OSHA-10: Construction > 1926 Subpart I Tools-Hand and Power,CS.1926.300 > 1926.300(c) Personal protective equipment.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Power Tools: Portable Band Saw,16,Trainee will demonstrate safety inspection - basic use.,OSHA > OSHA-10: Construction > 1926 Subpart I Tools-Hand and Power,CS.1926.300 > 1926.300(c) Personal protective equipment.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Power Tools: Reciprocating Saw,14,Trainee will select and wear correct PPE.,OSHA > OSHA-10: Construction > 1926 Subpart I Tools-Hand and Power,CS.1926.300 > 1926.300(c) Personal protective equipment.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Power Tools: Reciprocating Saw,14,Trainee will demonstrate plunge cut sawing technique.,OSHA > OSHA-10: Construction > 1926 Subpart I Tools-Hand and Power,CS.1926.300 > 1926.300(c) Personal protective equipment.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Power Tools: Reciprocating Saw,14,Trainee will select proper reciprocating saw blade for workpiece.,OSHA > OSHA-10: Construction > 1926 Subpart I Tools-Hand and Power,CS.1926.300 > 1926.300(c) Personal protective equipment.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Power Tools: Reciprocating Saw,14,Trainee will demonstrate how to perform inspection and routine maintenance.,OSHA > OSHA-10: Construction > 1926 Subpart I Tools-Hand and Power,CS.1926.300 > 1926.300(c) Personal protective equipment.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Power Tools: Reciprocating Saw,14,Trainee will demonstrate how to safely replace a reciprocating saw blade.,OSHA > OSHA-10: Construction > 1926 Subpart I Tools-Hand and Power,CS.1926.300 > 1926.300(c) Personal protective equipment.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Power Tools: Reciprocating Saw,14,Trainee will demonstrate demolition stud removal technique.,OSHA > OSHA-10: Construction > 1926 Subpart I Tools-Hand and Power,CS.1926.300 > 1926.300(c) Personal protective equipment.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Power Tools: Portable Band Saw,16,Trainee will select and wear correct PPE.,"OSHA > OSHA-10: Construction > 1926 Subpart I
Tools - Hand and Power",CS.1926.302 > 1926.300(c) Personal protective equipment.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Power Tools: Portable Band Saw,16,Trainee will demonstrate sawing technique with a portable band saw.,"OSHA > OSHA-10: Construction > 1926 Subpart I
Tools - Hand and Power",CS.1926.302 > 1926.300(c) Personal protective equipment.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Power Tools: Portable Band Saw,16,Trainee will demonstrate measure and clamp material.,"OSHA > OSHA-10: Construction > 1926 Subpart I
Tools - Hand and Power",CS.1926.302 > 1926.300(c) Personal protective equipment.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Power Tools: Portable Band Saw,16,Trainee will demonstrate how to replace a portable band saw blade.,"OSHA > OSHA-10: Construction > 1926 Subpart I
Tools - Hand and Power",CS.1926.302 > 1926.300(c) Personal protective equipment.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Power Tools: Portable Band Saw,16,Trainee will demonstrate safety inspection - basic use.,"OSHA > OSHA-10: Construction > 1926 Subpart I
Tools - Hand and Power",CS.1926.302 > 1926.300(c) Personal protective equipment.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Scaffolds,14,Trainee will demonstrate how to safely maneuver on a scaffold.,OSHA > OSHA-10: Construction > 1926 Subpart L Scaffolds,CS.1926.454 > 1926.454(a) Training.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Scaffolds,14,Trainee will demonstrate awareness of tags and the competent person.,OSHA > OSHA-10: Construction > 1926 Subpart L Scaffolds,CS.1926.454 > 1926.454(a) Training.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Scaffolds,14,Trainee will demonstrate ladder climb equipment and technique.,OSHA > OSHA-10: Construction > 1926 Subpart L Scaffolds,CS.1926.454 > 1926.454(a) Training.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Scaffolds,14,Trainee will demonstrate scaffold parts and inspection.,OSHA > OSHA-10: Construction > 1926 Subpart L Scaffolds,CS.1926.454 > 1926.454(a) Training.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Calculating and Evaluating Offsets,23,Trainee will select and wear correct PPE.,OSHA > OSHA-10: Construction > Subpart A: General,CS.1926.5 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Calculating and Evaluating Offsets,23,Trainee will evaluate and correct an offset bend for accuracy.,OSHA > OSHA-10: Construction > Subpart A: General,CS.1926.5 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Calculating and Evaluating Offsets,23,Trainee will lay out markings for offset bends.,OSHA > OSHA-10: Construction > Subpart A: General,CS.1926.5 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Calculating and Evaluating Offsets,23,Trainee will calculate and convert measurements for offset bends.,OSHA > OSHA-10: Construction > Subpart A: General,CS.1926.5 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Calculating and Evaluating Offsets,23,Trainee will interpret and pull measurements from the job site for offset bending.,OSHA > OSHA-10: Construction > Subpart A: General,CS.1926.5 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Calculating and Evaluating Offsets,23,"Trainee will demonstrate how to calculate and convert measurements interpreted from a job site, then lay out and evaluate offset bends according to specifications.",OSHA > OSHA-10: Construction > Subpart A: General,CS.1926.5 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal Conduit 3,32,Trainee will select and wear correct PPE.,OSHA > OSHA-10: Construction > Subpart A: General,CS.1926.5 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal Conduit 3,32,Trainee will demonstrate how to run conduit between boxes with obstructions.,OSHA > OSHA-10: Construction > Subpart A: General,CS.1926.5 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal Conduit 3,32,Trainee will install EMT between device boxes with obstructions.,OSHA > OSHA-10: Construction > Subpart A: General,CS.1926.5 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal Conduit 3,32,Trainee will bend and cut EMT to back-to-back 90 degree bends and correct stub lengths.,OSHA > OSHA-10: Construction > Subpart A: General,CS.1926.5 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal Conduit 3,32,Trainee will measure and punch holes in studs to install conduit between boxes with obstructions.,OSHA > OSHA-10: Construction > Subpart A: General,CS.1926.5 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal Conduit 3,32,Trainee will secure EMT vertically and horizontally.,OSHA > OSHA-10: Construction > Subpart A: General,CS.1926.5 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal Conduit 3,32,Trainee will calculate measurements for bending and cutting conduit to be run between boxes with obstructions.,OSHA > OSHA-10: Construction > Subpart A: General,CS.1926.5 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal MC 2,24,Trainee will select and wear correct PPE.,OSHA > OSHA-10: Construction > Subpart A: General,CS.1926.5 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal MC 2,24,Trainee will demonstrate how to run a horizontal MC between boxes of different heights.,OSHA > OSHA-10: Construction > Subpart A: General,CS.1926.5 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal MC 2,24,Trainee will install MC between device boxes with different heights.,OSHA > OSHA-10: Construction > Subpart A: General,CS.1926.5 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal MC 2,24,Trainee will secure MC vertically and horizontally.,OSHA > OSHA-10: Construction > Subpart A: General,CS.1926.5 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal MC 2,24,Trainee will measure and punch holes in studs to run a horizontal MC between boxes with different heights.,OSHA > OSHA-10: Construction > Subpart A: General,CS.1926.5 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal MC 2,24,Trainee will prepare MC for installation between boxes with different heights.,OSHA > OSHA-10: Construction > Subpart A: General,CS.1926.5 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Supporting Boxes and Racks Overhead,25,Trainee will select and wear correct PPE.,OSHA > OSHA-10: Construction > Subpart A: General,CS.1926.5 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Supporting Boxes and Racks Overhead,25,"Trainee will demonstrate how to install overhead supports for use in concrete and steel, including wedge anchors, actuated fasteners, and beam clamps.",OSHA > OSHA-10: Construction > Subpart A: General,CS.1926.5 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Supporting Boxes and Racks Overhead,25,Trainee will install a beam clamp.,OSHA > OSHA-10: Construction > Subpart A: General,CS.1926.5 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Supporting Boxes and Racks Overhead,25,Trainee will install a nitroset fastener.,OSHA > OSHA-10: Construction > Subpart A: General,CS.1926.5 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Supporting Boxes and Racks Overhead,25,Trainee will install a wedge anchor for an HR box.,OSHA > OSHA-10: Construction > Subpart A: General,CS.1926.5 > Wearing of appropriate personal protective equipment.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Supporting Boxes and Racks Overhead,25,Trainee will use a laser to mark locations for ceiling fasteners.,OSHA > OSHA-10: Construction > Subpart A: General,CS.1926.5 > Wearing of appropriate personal protective equipment.
